ticker,company_name,objective_status,debt_ratio,investment_ratio,income_ratio,illiquid_assets_ratio,net_liquid_assets_ratio,share_price,final_shariah_status,source_document,source_period,notes
AABS,Al-Abbas Sugar Mills Ltd,Compliant,22.66%,53.64%,2.46%,30.53%,238.97,1040.47,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Based on September 2025 accounts.
AASM,Al-Abid Silk Mills Limited,Compliant,34.98%,0.00%,4.31%,92.36%,(159.13),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
AATM,Ali Asghar Textile Mills Limited,Compliant,7.71%,20.27%,44.06%,76.08%,4.59,43.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
ABOT,Abbott Lab (Pakistan) Ltd,Compliant,1.04%,0.00%,0.63%,61.42%,29.33,1050.14,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,
ACPL,Attock Cement Pakistan Ltd,Compliant,25.04%,5.38%,0.06%,84.92%,(143.92),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
ADAMS,Adam Sugar Mills Ltd,Compliant,8.65%,0.18%,0.01%,88.96%,(144.14),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Based on September 2025 accounts.
ADMM,Artistic Denim Mills Ltd,Compliant,42.96%,0.00%,0.07%,80.18%,(141.72),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
AGHA,Agha Steel Ind,Compliant,48.50%,0.00%,0.08%,90.96%,(48.39),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
AGIL,Agriauto Industries Ltd,Compliant,10.01%,0.74%,0.05%,71.96%,(23.75),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
AGL,Agritech Limited,Compliant,61.38%,7.49%,6.80%,85.48%,(100.84),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,
AGP,AGP Limited,Compliant,7.27%,0.05%,0.19%,85.99%,(37.26),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,
AGSML,Abdullah Shah Ghazi Sugar Mills,Compliant,43.77%,0.00%,0.00%,99.68%,(53.51),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Based on September 2025 accounts.
AGTL,Al-Ghazi Tractors Ltd,Compliant,0.21%,0.00%,0.36%,45.92%,32.07,400.66,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,
AHCL,Arif Habib Corporation Ltd,Compliant,8.86%,4.14%,21.39%,76.22%,(17.83),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
AHTM,Ahmed Hassan Textile Mills Ltd,Compliant,13.06%,0.00%,0.00%,81.67%,(145.89),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
AIRLINK,Air Link Communication Limited,Compliant,32.66%,6.44%,0.38%,53.65%,(40.00),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
AKDHL,AKD Hospitality Limited (AKD Capital),Compliant,0.00%,62.08%,28.27%,5.15%,19.59,178.59,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
AKGL,AL-Khair Gadoon Ltd,Compliant,23.18%,0.00%,0.04%,76.39%,(16.19),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
ALNRS,Al-Noor Sugar Mills Ltd,Compliant,8.82%,0.02%,0.05%,91.46%,(379.13),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Based on September 2025 accounts.
ALTN,Altern Energy Ltd,Compliant,0.00%,81.70%,0.46%,3.48%,26.16,11.76,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
AMTEX,Amtex Limited,Compliant,249.02%,0.00%,0.07%,72.74%,(42.71),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
ANL,Azgard Nine Ltd,Compliant,27.24%,2.00%,0.00%,65.43%,(8.47),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
ANSM,Ansari Sugar Mills Ltd,Compliant,64.99%,0.00%,0.00%,89.13%,(184.63),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Based on September 2025 accounts.
ANTM,AN Textile Mills Ltd,Compliant,20.53%,0.00%,0.00%,83.28%,(96.62),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
APL,Attock Petroleum Ltd,Compliant,8.34%,35.90%,1.18%,49.74%,40.39,545.56,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
ARCTM,Arctic Textile Mills Limited,Compliant,0.00%,0.00%,0.03%,76.59%,(12.99),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
ARMG,ARM Green Industries Limited (Calcorp Limited),Compliant,0.00%,0.00%,95.22%,34.88%,10.95,59.28,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
ARPL,Archroma Pakistan Ltd,Compliant,1.30%,0.00%,0.00%,49.06%,(96.91),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Based on September 2025 accounts.
ARUJ,Aruj Industries Ltd,Compliant,67.83%,0.00%,0.00%,46.39%,(5.27),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
ASC,Al Shaheer Corporation Ltd,Compliant,0.00%,0.00%,0.00%,89.77%,(10.99),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
ASHT,Ashfaq Textile Mills Ltd,Compliant,0.00%,0.00%,0.18%,79.57%,(0.09),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
ASL,Aisha Steel Ltd,Compliant,29.15%,0.00%,0.00%,72.13%,(4.82),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
ASTL,Amreli Steels Ltd,Compliant,35.91%,0.07%,5.27%,71.51%,(61.69),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
ASTM,Asim Textile Mills Ltd,Compliant,0.00%,0.00%,0.00%,74.38%,(32.84),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
ATBA,Atlas Battery Ltd,Compliant,21.69%,2.97%,0.00%,70.06%,(211.56),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
ATLH,Atlas Honda Ltd,Compliant,0.51%,33.66%,1.94%,27.23%,116.47,1342.30,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Based on September 2025 accounts. Provisional dividend purification rate (subject to final adjustment).
ATRL,Attock Refinery Ltd,Compliant,0.12%,18.36%,1.92%,52.09%,367.07,683.43,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
AVN,Avanceon Limited,Compliant,9.33%,0.00%,0.00%,25.60%,18.58,43.66,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Screened on the latest available financial statements.
AWTX,Allawasaya Textile Mills Ltd,Compliant,23.23%,0.42%,0.31%,67.88%,(1152.54),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
BAFS,Baba Farid Sugar Mills Ltd,Compliant,8.17%,0.00%,0.14%,85.81%,(828.96),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Based on September 2025 accounts.
BAPL,Bawany Air Product Ltd,Compliant,2.34%,0.34%,0.00%,2.42%,406.32,44.61,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
BATA,Bata (Pakistan) Ltd,Compliant,32.97%,0.33%,0.09%,78.19%,(986.05),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,
BBFL,Big Bird Foods Limited,Compliant,27.83%,0.00%,1.39%,82.81%,(9.04),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
BCL,Bolan Castings Ltd,Compliant,4.88%,0.00%,0.27%,67.62%,(16.63),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
BECO,Beco Steel Limited (Ravi Textile),Compliant,0.07%,0.00%,0.00%,65.89%,(24.26),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
BELA,Bela Automotives Limited,Compliant,67.39%,0.00%,0.00%,88.83%,(24.15),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
BERG,Berger Paints Pakistan Ltd,Compliant,20.27%,0.67%,0.10%,49.04%,(10.35),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
BFAGRO,Barkat Frisian Agro Limited,Compliant,0.21%,0.08%,0.00%,138.42%,(7.35),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
BFBIO,BF Biosciences Limited,Compliant,18.67%,13.26%,1.23%,70.83%,(23.71),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
BGL,Balochistan Glass Ltd,Compliant,39.39%,0.00%,0.00%,92.39%,(4.20),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
BHAT,Bhanero Textile Mills Ltd,Compliant,34.14%,3.36%,0.29%,75.05%,(3344.83),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
BIFO,Biafo Industries Ltd,Compliant,12.79%,7.01%,0.11%,68.03%,7.27,160.54,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
BLUEX,Blue-Ex Limited,Compliant,4.88%,1.71%,0.50%,25.47%,28.00,64.86,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
BNL,Bunnys Limited,Compliant,17.67%,0.00%,0.00%,78.72%,(16.55),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
BNWM,Bannu Woollen Mills Ltd,Compliant,8.42%,0.00%,0.02%,83.35%,(16.02),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
BPL,Burshane LPG (Pakistan) Ltd,Compliant,30.15%,0.00%,4.17%,70.63%,(24.37),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
